,鄉鎮,年度,月份,旬,平均值,
台東縣,台東地區,2015,12,1,11.5,84.2
台東縣,台東地區,2015,11,3,84.2,94.2
台東縣,台東地區,2015,11,2,94.2,122.4
台東縣,台東地區,2015,11,1,122.4,120.6
台東縣,台東地區,2015,10,3,120.6,99999
台東縣,台東地區,2015,9,3,484,556
台東縣,台東地區,2015,9,2,556,525.8
台東縣,台東地區,2015,9,1,525.8,376
台東縣,台東地區,2015,8,3,376,381.2
台東縣,台東地區,2015,8,2,381.2,417
台東縣,台東地區,2015,8,1,417,99999
台東縣,台東地區,2015,7,2,300.8,99999
台東縣,台東地區,2015,6,2,276,231
台東縣,台東地區,2015,6,1,231,132
台東縣,台東地區,2015,5,3,132,136.8
台東縣,台東地區,2015,5,2,136.8,180.4
台東縣,台東地區,2015,5,1,180.4,157.4
台東縣,台東地區,2015,4,3,157.4,266.2
台東縣,台東地區,2015,4,2,266.2,224
台東縣,台東地區,2015,4,1,224,174.8
台東縣,台東地區,2015,3,3,174.8,111.4
台東縣,台東地區,2015,3,2,111.4,111.4
台東縣,台東地區,2015,3,1,111.4,18.6
台東縣,台東地區,2015,2,3,18.6,99999
台東縣,台東地區,2015,2,1,7.2,18.2
台東縣,台東地區,2015,1,3,18.2,11.6
台東縣,台東地區,2015,1,2,11.6,15.2
台東縣,台東地區,2015,1,1,15.2,99999
台東縣,台東地區,2014,12,2,0,99999
台東縣,台東地區,2014,11,3,0,114.2
台東縣,台東地區,2014,11,2,114.2,122
台東縣,台東地區,2014,11,1,122,162.2
台東縣,台東地區,2014,10,3,162.2,139
台東縣,台東地區,2014,10,2,139,332.2
台東縣,台東地區,2014,10,1,332.2,400.4
台東縣,台東地區,2014,9,3,400.4,334.2
台東縣,台東地區,2014,9,2,334.2,332.2
台東縣,台東地區,2014,9,1,332.2,430.2
台東縣,台東地區,2014,8,3,430.2,0
台東縣,台東地區,2014,8,2,0,290.4
台東縣,台東地區,2014,8,1,290.4,410.6
台東縣,台東地區,2014,7,3,410.6,350.4
台東縣,台東地區,2014,7,2,350.4,284.8
台東縣,台東地區,2014,7,1,284.8,0
台東縣,台東地區,2014,6,3,0,0
台東縣,台東地區,2014,6,2,0,97.4
